FILE,ALGO,TIME
medium-sparse-nonnegative-undirected.graph,Floyd-Warshall,0.030497
medium-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,0.013053
medium-sparse-nonnegative-undirected.graph,Johnson-FibonacciHeap,0.048196
huge-sparse-nonnegative-undirected.graph,Floyd-Warshall,1.695121
huge-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,0.457136
huge-sparse-nonnegative-undirected.graph,Johnson-FibonacciHeap,4.083679
colossal-sparse-nonnegative-undirected.graph,Floyd-Warshall,13.997710
colossal-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,3.037479
colossal-sparse-nonnegative-undirected.graph,Johnson-FibonacciHeap,34.377082
small-sparse-nonnegative-undirected.graph,Floyd-Warshall,0.004529
small-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,0.003693
small-sparse-nonnegative-undirected.graph,Johnson-FibonacciHeap,0.010678
large-sparse-nonnegative-undirected.graph,Floyd-Warshall,0.0
large-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,0.458910
large-sparse-nonnegative-undirected.graph,Johnson-FibonacciHeap,4.072805
tiny-sparse-nonnegative-undirected.graph,Floyd-Warshall,0.000647
tiny-sparse-nonnegative-undirected.graph,Johnson-Min-Heap,0.001158
tiny-sparse-nonnegative-undirected.graph,Johnson-FibonacciHeap,0.002681
huge-dense-nonnegative-undirected.graph,Floyd-Warshall,1.523513
huge-dense-nonnegative-undirected.graph,Johnson-Min-Heap,1.597007
huge-dense-nonnegative-undirected.graph,Johnson-FibonacciHeap,7.854775
large-dense-nonnegative-undirected.graph,Floyd-Warshall,0.193763
large-dense-nonnegative-undirected.graph,Johnson-Min-Heap,0.242410
large-dense-nonnegative-undirected.graph,Johnson-FibonacciHeap,1.044208
colossal-dense-nonnegative-undirected.graph,Floyd-Warshall,18.426619
colossal-dense-nonnegative-undirected.graph,Johnson-Min-Heap,17.951338
colossal-dense-nonnegative-undirected.graph,Johnson-FibonacciHeap,93.508640
medium-dense-nonnegative-undirected.graph,Floyd-Warshall,0.026570
medium-dense-nonnegative-undirected.graph,Johnson-Min-Heap,0.037913
medium-dense-nonnegative-undirected.graph,Johnson-FibonacciHeap,0.145716
small-dense-nonnegative-undirected.graph,Floyd-Warshall,0.003882
small-dense-nonnegative-undirected.graph,Johnson-Min-Heap,0.007416
small-dense-nonnegative-undirected.graph,Johnson-FibonacciHeap,0.022685
tiny-dense-nonnegative-undirected.graph,Floyd-Warshall,0.000587
tiny-dense-nonnegative-undirected.graph,Johnson-Min-Heap,0.001827
tiny-dense-nonnegative-undirected.graph,Johnson-FibonacciHeap,0.004375
